,,"Communication is key to the success of a project. As the project manager, you had three stakeholders with whom you needed to communicate. Therefore, you had six channels of communication. A new stakeholder has been added with whom you also need to communicate. How many communication channels do you have now?",,Communication,Calculation,10,12,16,7,,,"Did you realize the project manager is part of the communication channels? Therefore, there are actually four stakeholders to begin with and six channels of communication. The question is asking how many total channels of communication you have with a team of five people. The formula is [N x (N-l)]/2 or (5 x 4)/2 = 10.",projectmanagementquestion.wordpress.com
,,When do stakeholders have the MOST influence on a project?,,Communication,Process,At the beginning of the project,In the middle of the project,At the end of the project,Throughout the project,,,"Stakeholders have an impact throughout the project, but they must be identified and involved at the beginning of the project, in order to determine their requirements and expectations. If this effort is not done early, the results may be expensive changes and/or dissatisfaction later in the project.",projectmanagementquestion.wordpress.com
,,"A large, one-year telecommunications project is about halfway done when you take the place of the previous project manager. The project involves three different sellers and a project team of 30 people. You would like to see the project’s communications requirements and what technology is being used to aid in project communications. Where will you find this information?",,Communication,Process,The communications management plan,The project management plan,The information distribution plan,The bar chart,,,"Although the information is found within the project management plan, the communications management plan is the best answer because it directly answers the question.",projectmanagementquestion.wordpress.com
,,Stakeholders can be identified in which project management process groups?,,Communication,Process,"Initiating, planning, executing, monitoring and controlling, and closing",Initiating and planning,Planning and monitoring and controlling,Monitoring and controlling and closing,,,"Stakeholders can be identified throughout the project. However, the earlier stakeholders are identified, the better for the project. If all of the stakeholders’ needs and requirements are taken into account before plans are finalized and project work is begun, fewer changes will be needed later in the project, when they will be more costly.",projectmanagementquestion.wordpress.com
,,"During the middle of the project, things have been going well. The work authorization system has allowed people to know when to start work, and the issue log has helped keep track of stakeholders’ needs. The sponsor has expressed his appreciation for the team members’ efforts by hosting a milestone party. The project manager gets a call from a team member saying the results from the completion of her activity’s predecessor are two days late. Which of the following reasons would BEST describe why this occurred?",,Communication,Process,Functional management was not included in the communications management plan.,"The successor activities should have been watched, not the predecessors.",The right people were not invited to the milestone party.,The project manager was focusing on the sponsor’s needs.,,,"Since there is no information about the sponsor or his needs in this situation, focusing on his needs cannot be best. The statement that successor activities should have been watched, rather than the predecessors, is not a correct statement. A project manager should watch both predecessor and successor activities. Attendance at the party and the issue at hand are not related. Often forgotten in communications management plans are the bosses of team members (functional management in a matrix organization). Including the bosses of team members in communications planning, requirements gathering, risk management, and other areas of project management helps make the project better. In addition, it helps the functional managers manage their resources effectively. If the functional manager of the team member assigned to the predecessor activity had been included in the project planning processes, he would have known when the team member was needed to do work for the project and the impact, if any, of delay. The communications management plan should also have included a method to communicate potential delays.",projectmanagementquestion.wordpress.com
,,"The project manager is expecting a deliverable to be submitted by e-mail from a team member today. At the end of the day, the project manager contacts the team member to notify him that it has not been received. The team member apologizes and explains that he was not able to e-mail the deliverable, and it was sent through the mail instead. The team member goes on to remind the project manager that he had informed the project manager, during a phone conversation, that this would occur. “Was that the conversation we had when I told you I could not hear you well due to poor cell phone coverage?” asks the project manager. “Yes,” replies the team member. What could have been done to avoid this problem?",,Communication,Scenario,Feedback during the communication,Paralingual communication,Adding to the issue log after the phone call,Better attention to determining communications requirements,,,"The pitch and tone of voice (paralingual communication) is not relevant here, as the project manager could not even hear all that was being said. There were no issues recognized after the conversation, so none could be added to the issue log. This issue is not related to communications requirements, so that choice cannot be best Saying, “I am not sure I properly heard what you said,” during the conversation or repeating the message back to the team member would have prevented this problem. Giving and requesting feedback during the communication is the best option.",projectmanagementquestion.wordpress.com
,,"The project has been going well, except for the number of changes being made. The project is being installed into seven different departments within the company and will greatly improve departmental performance when operational. The team has selected the appropriate processes for use on the project. The project manager is a technical expert as well as having been trained in communications and managing people. Which of the following is the MOST likely cause of the project problems?",,Communication,Scenario,Some stakeholders were not identified.,The project manager was not trained in understanding the company environment.,The project should have more management oversight since it will result in such great benefits to the company.,The project should have used more of the project management processes.,,,"Once again, it is important to look for the choice that would solve the real problem. There is no reason to think that training, management oversight, or a need for more processes are factors contributing to the number of changes. The root cause is that stakeholders were missed and, as a result, their requirements were not found. Those stakeholders are now requesting changes to accommodate their needs.",projectmanagementquestion.wordpress.com
,,"A project manager has just been assigned a team that comes from many countries including Brazil, Japan, the US, and Britain. What is her BEST tool for success?",,Communication,Scenario,Communication and well-developed people skills,The responsibility assignment matrix (RAM),The teleconference,Team communication with the WBS,,,"Working with people from different cultures with different cultural values and beliefs necessitates an understanding of both basic definitions and areas of cultural impact. As project managers, we need to have good communication skills and a willingness to adapt to other cultures.",projectmanagementquestion.wordpress.com
,,"The project has 13 team members and affects more than 15 departments in the organization. Because the project is 20 percent complete to date and the team has had successful performance reports from five of the affected departments, the project manager holds a party to celebrate. The project manager invites key stakeholders from all of the departments to the party, in order to give those providing good reviews an informal opportunity to communicate good things to those departments that have not yet been affected by the project. At the party, the project manager walks around to try to discover any relevant information that would help him make the project even more successful. He happens to hear a manager of one of the departments talking about setting up more regular meetings on the project. The BEST thing for the project manager to do would be to FIRST:",,Communication,Scenario,Review the information distribution methods on the project.,Hold a meeting of all the stakeholders to discuss their concerns.,Make sure the manager has a copy of the communications management plan so he is reminded that such concerns should be sent to the project manager.,Record the effectiveness of the party in the project lessons learned.,,,"Many of these choices could be done, but ask yourself, “What is the most effective thing to do?” The party may well generate lessons learned, and recording them would certainly be a good idea, but the question asked what to do first. There is a more immediate issue—the manager. Meeting with all the stakeholders could be useful, but there is only one stakeholder, the manager, who definitely has an issue. Besides, a good project manager would be holding regular meetings with the stakeholders already. Making sure the manager has a copy of the communications management plan might be a good idea, as the manager apparently is not communicating with the project manager. However, this would not be enough to ensure the manager does communicate. The manager is, in effect, saying he is not getting the information he needs. His lack of needed information is causing him to suggest more meetings. However, too many meetings are a problem on projects. A great project manager does not just add meetings, but solves the real problem in the best way. A goal of information distribution is to get information to those who need it. The project manager may decide to adjust the information distribution process by changing the format of a report or sending existing reports to the manager with the issue, rather than adding meetings. Therefore, the correct choice is to review the information distribution methods on the project.",projectmanagementquestion.wordpress.com
,,A particular stakeholder has a reputation for making many changes on projects. What is the BEST approach a project manager can take at the beginning of the project to manage this situation?,,Communication,Scenario,Get the stakeholder involved in the project as early as possible.,Talk to the stakeholder s boss to find ways of directing the stakeholder’s activities to another project.,Ask that the stakeholder not be included in the stakeholder listing.,Say “No” to the stakeholder a few times to dissuade him from submitting more changes.,,,"The project manager cannot avoid the stakeholder, because he has a stake in the project. The project manager can say “No,” but this does not solve the root cause of the problem. There may be some good ideas within those changes. The only choice that deals with the problem is getting the stakeholder involved in the project as soon as possible. Changes generally arise due to lack of input at the beginning of the project. If the project manager begins effective communication with this stakeholder early, there is a much better chance his changes will be discovered during the planning process, when they will have less of an impact on the project.",projectmanagementquestion.wordpress.com
